20020101,122,1,196
20020102,89,1,130
20020103,126,3,192
20020104,121,0,180
20020105,115,2,158
20020106,86,1,134
20020107,99,1,132
20020108,100,4,165
20020109,79,0,112
20020110,93,1,134
20020111,98,0,123
20020112,120,4,187
20020113,92,2,148
20020114,123,2,165
20020115,133,0,181
20020116,122,2,157
20020117,132,1,190
20020118,108,2,146
20020119,123,2,177
20020120,92,1,159
20020121,98,3,120
20020122,89,0,126
20020123,79,0,105
20020124,95,3,115
20020125,88,1,132
20020126,117,2,148
20020127,73,1,102
20020128,93,1,128
20020129,126,0,193
20020130,139,1,212
20020131,116,2,158
20020201,122,0,154
20020202,108,2,151
20020203,107,1,162
20020204,105,1,150
20020205,114,1,152
20020206,121,3,151
20020207,124,4,171
20020208,135,1,182
20020209,133,2,181
20020210,57,0,83
20020211,51,1,90
20020212,61,0,101
20020213,58,1,95
20020214,83,2,123
20020215,90,0,116
20020216,111,4,141
20020217,62,1,84
20020218,91,0,106
20020219,116,1,154
20020220,92,1,127
20020221,116,1,146
20020222,112,2,163
20020223,107,0,153
20020224,97,0,144
20020225,88,0,107
20020226,114,1,156
20020227,97,2,133
20020228,120,2,155
20020301,83,0,129
20020302,106,1,145
20020303,99,0,164
20020304,103,3,125
20020305,126,0,176
20020306,114,3,164
20020307,102,2,133
20020308,107,0,152
20020309,111,1,154
20020310,127,2,215
20020311,106,2,139
20020312,89,1,119
20020313,115,2,142
20020314,115,1,161
20020315,136,2,180
20020316,131,3,240
20020317,107,3,184
20020318,115,2,165
20020319,88,1,122
20020320,122,0,166
20020321,146,1,197
20020322,136,0,187
20020323,136,0,197
20020324,92,1,148
20020325,105,1,131
20020326,128,0,164
20020327,111,1,128
20020328,116,1,162
20020329,123,1,186
20020330,154,0,228
20020331,122,0,201
20020401,119,1,157
20020402,138,1,203
20020403,118,1,160
20020404,117,3,159
20020405,132,0,196
20020406,126,2,180
20020407,86,0,116
20020408,97,1,121
20020409,114,1,135
20020410,112,0,146
20020411,119,1,143
20020412,123,0,146
20020413,130,0,203
20020414,72,2,120
20020415,113,2,154
20020416,134,2,196
20020417,116,4,168
20020418,118,0,167
20020419,114,3,159
20020420,125,4,178
20020421,90,2,126
20020422,109,2,140
20020423,103,3,157
20020424,119,4,149
20020425,123,5,162
20020426,98,1,131
20020427,127,4,166
20020428,125,3,186
20020429,149,1,221
20020430,133,3,173
20020501,118,1,163
20020502,130,3,189
20020503,144,1,195
20020504,128,1,165
20020505,98,1,161
20020506,107,1,133
20020507,118,1,164
20020508,123,1,162
20020509,117,0,158
20020510,122,1,184
20020511,128,4,203
20020512,71,2,104
20020513,104,0,127
20020514,98,3,129
20020515,145,4,199
20020516,123,0,179
20020517,134,2,198
20020518,124,1,178
20020519,92,2,129
20020520,114,0,168
20020521,101,1,138
20020522,89,2,126
20020523,113,2,158
20020524,122,0,165
20020525,150,2,208
20020526,106,5,169
20020527,110,1,149
20020528,98,3,125
20020529,116,3,155
20020530,124,0,168
20020531,115,2,156
20020601,110,1,140
20020602,83,1,116
20020603,88,1,119
20020604,112,3,141
20020605,118,2,154
20020606,93,1,140
20020607,128,2,178
20020608,103,1,135
20020609,78,0,119
20020610,139,1,194
20020611,125,2,164
20020612,112,2,179
20020613,76,2,107
20020614,117,1,160
20020615,113,0,171
20020616,65,2,90
20020617,89,3,124
20020618,123,0,159
20020619,113,0,161
20020620,115,0,159
20020621,97,0,126
20020622,123,2,157
20020623,98,1,153
20020624,80,0,122
20020625,100,3,137
20020626,107,1,154
20020627,93,1,123
20020628,88,0,119
20020629,116,1,145
20020630,75,1,103
20020701,68,0,105
20020702,101,4,138
20020703,90,0,113
20020704,98,0,140
20020705,126,1,198
20020706,126,3,194
20020707,88,0,159
20020708,90,1,123
20020709,86,2,117
20020710,93,4,127
20020711,102,0,143
20020712,115,1,173
20020713,123,1,163
20020714,137,3,216
20020715,103,0,136
20020716,112,1,148
20020717,76,2,120
20020718,93,2,108
20020719,122,1,178
20020720,119,2,163
20020721,105,1,202
20020722,101,2,137
20020723,108,5,153
20020724,90,1,139
20020725,99,3,130
20020726,100,2,136
20020727,107,0,141
20020728,80,0,120
20020729,88,1,115
20020730,103,0,149
20020731,100,1,134
20020801,89,1,131
20020802,101,3,127
20020803,114,1,218
20020804,85,2,164
20020805,88,1,117
20020806,135,3,213
20020807,134,2,204
20020808,113,3,147
20020809,111,0,174
20020810,110,1,157
20020811,99,3,152
20020812,90,3,118
20020813,91,0,122
20020814,111,1,156
20020815,102,2,166
20020816,95,1,150
20020817,115,2,165
20020818,109,1,177
20020819,119,3,169
20020820,103,2,131
20020821,106,1,163
20020822,110,1,151
20020823,113,4,154
20020824,113,3,162
20020825,87,2,141
20020826,102,3,142
20020827,122,0,163
20020828,110,1,146
20020829,108,1,145
20020830,122,0,174
20020831,153,2,224
20020901,113,1,194
20020902,111,3,133
20020903,99,0,124
20020904,119,0,157
20020905,104,2,127
20020906,116,2,148
20020907,133,2,191
20020908,103,4,164
20020909,121,1,163
20020910,120,1,161
20020911,120,2,149
20020912,120,0,171
20020913,118,4,146
20020914,131,0,203
20020915,101,2,150
20020916,102,1,150
20020917,115,0,154
20020918,139,0,196
20020919,115,4,150
20020920,84,0,138
20020921,66,0,133
20020922,76,0,128
20020923,99,2,135
20020924,96,2,121
20020925,101,1,132
20020926,98,1,141
20020927,120,2,172
20020928,142,1,207
20020929,124,1,180
20020930,114,1,161
20021001,116,2,154
20021002,130,5,169
20021003,110,1,158
20021004,105,3,154
20021005,159,0,253
20021006,156,2,264
20021007,109,2,146
20021008,122,1,149
20021009,90,1,141
20021010,103,0,135
20021011,124,2,188
20021012,107,4,157
20021013,112,1,210
20021014,109,2,140
20021015,144,3,198
20021016,101,2,142
20021017,130,1,189
20021018,115,2,166
20021019,132,2,195
20021020,104,1,148
20021021,107,2,135
20021022,105,0,145
20021023,108,2,168
20021024,122,0,174
20021025,138,1,195
20021026,194,1,267
20021027,123,2,233
20021028,109,0,139
20021029,86,2,123
20021030,107,1,143
20021031,110,0,139
20021101,106,1,151
20021102,114,5,163
20021103,86,3,154
20021104,108,0,152
20021105,86,0,133
20021106,112,1,152
20021107,100,2,137
20021108,76,1,118
20021109,117,2,164
20021110,91,1,154
20021111,92,1,149
20021112,94,1,127
20021113,109,1,144
20021114,96,1,149
20021115,101,3,133
20021116,109,2,149
20021117,112,2,174
20021118,82,0,130
20021119,106,4,136
20021120,126,0,182
20021121,107,3,139
20021122,106,1,159
20021123,116,0,182
20021124,85,2,129
20021125,115,0,163
20021126,78,1,104
20021127,101,1,141
20021128,110,2,139
20021129,107,0,151
20021130,99,2,146
20021201,84,0,136
20021202,110,2,147
20021203,109,2,161
20021204,80,4,113
20021205,88,1,125
20021206,94,1,123
20021207,117,0,157
20021208,176,1,308
20021209,107,4,148
20021210,86,0,127
20021211,126,1,180
20021212,101,1,137
20021213,101,2,139
20021214,113,1,159
20021215,88,1,146
20021216,109,2,148
20021217,93,0,137
20021218,105,2,131
20021219,90,1,132
20021220,73,0,86
20021221,103,0,143
20021222,77,2,122
20021223,133,0,180
20021224,122,1,169
20021225,108,3,197
20021226,103,1,150
20021227,113,2,157
20021228,86,1,123
20021229,87,0,138
20021230,89,0,125
20021231,139,1,222
20030101,121,2,213
20030102,86,5,129
20030103,107,1,155
20030104,82,0,125
20030105,143,1,252
20030106,190,1,287
20030107,186,1,304
20030108,186,0,312
20030109,200,1,319
20030110,204,1,318
