region,ym,d,minTemp,maxTemp,weather
강원,200205,26,12.0,20.0,구름많음/소나기/천둥
강원,200205,27,11.0,21.0,맑음
강원,200205,28,16.0,27.0,구름조금
강원,200205,29,19.0,30.0,구름조금
강원,200205,30,22.0,28.0,구름많음/비
강원,200205,31,18.0,27.0,구름조금/비
강원,200206,1,19.0,26.0,구름조금/소나기
강원,200206,2,18.0,24.0,맑음
강원,200206,3,16.0,25.0,구름조금
강원,200206,4,20.0,30.0,구름많음
강원,200206,5,18.0,23.0,흐림
강원,200206,6,17.0,30.0,맑음
강원,200206,7,25.0,35.0,맑음
강원,200206,8,17.0,29.0,구름조금/비
강원,200206,9,16.0,31.0,구름조금
강원,200206,10,20.0,30.0,흐림/비
강원,200206,11,19.0,30.0,구름조금/비
강원,200206,12,17.0,31.0,구름많음/소나기/뇌전/천둥
강원,200206,13,16.0,24.0,구름조금
강원,200206,14,15.0,23.0,구름많음
강원,200206,15,16.0,22.0,구름많음/비
강원,200206,16,14.0,23.0,맑음
강원,200206,17,16.0,26.0,맑음
강원,200206,18,17.0,30.0,구름조금
강원,200206,19,22.0,32.0,흐림
강원,200206,20,19.0,28.0,구름많음/비/소나기/뇌전
강원,200206,21,18.0,23.0,흐림/비
강원,200206,22,16.0,19.0,흐림/비
강원,200206,23,15.0,19.0,흐림/비
강원,200206,24,16.0,18.0,흐림/비
강원,200206,25,13.0,20.0,구름조금/비
강원,200206,26,13.0,23.0,맑음
강원,200206,27,14.0,26.0,맑음
강원,200206,28,14.0,26.0,맑음
강원,200206,29,14.0,24.0,구름조금
강원,200206,30,18.0,23.0,흐림/비
강원,200207,1,19.0,25.0,흐림
강원,200207,2,20.0,25.0,흐림/비
강원,200207,3,20.0,30.0,구름조금/안개비
강원,200207,4,20.0,31.0,구름많음
강원,200207,5,20.0,26.0,흐림/비
강원,200207,6,20.0,23.0,흐림/비/안개비
강원,200207,7,18.0,28.0,흐림/비
강원,200207,8,19.0,22.0,흐림/비
강원,200207,9,18.0,22.0,흐림/비
강원,200207,10,18.0,22.0,흐림/비
강원,200207,11,17.0,24.0,구름조금
강원,200207,12,22.0,34.0,구름많음
강원,200207,13,22.0,29.0,흐림/비/뇌전/천둥
강원,200207,14,21.0,28.0,흐림/비/안개비
강원,200207,15,25.0,34.0,구름조금/비/번개
강원,200207,16,22.0,29.0,구름많음/비/뇌전
강원,200207,17,19.0,22.0,흐림/비/안개비
강원,200207,18,19.0,22.0,흐림/비/안개비
강원,200207,19,19.0,21.0,흐림/비/안개비
강원,200207,20,19.0,29.0,구름많음
강원,200207,21,24.0,32.0,구름많음
강원,200207,22,21.0,25.0,흐림/비
강원,200207,23,20.0,22.0,흐림/비
강원,200207,24,20.0,30.0,구름조금
강원,200207,25,19.0,24.0,흐림/안개비
강원,200207,26,21.0,22.0,흐림/비/안개비
강원,200207,27,20.0,22.0,흐림/비/안개비
강원,200207,28,20.0,26.0,구름많음/안개비
강원,200207,29,21.0,33.0,맑음
강원,200207,30,29.0,34.0,맑음
강원,200207,31,28.0,36.0,맑음
강원,200208,1,29.0,33.0,맑음
강원,200208,2,29.0,34.0,구름조금
강원,200208,3,28.0,34.0,구름많음/비
강원,200208,4,26.0,32.0,구름많음/소나기
강원,200208,5,26.0,32.0,흐림/비
강원,200208,6,20.0,26.0,흐림/비
강원,200208,7,20.0,22.0,흐림/비
강원,200208,8,20.0,23.0,흐림/비/안개비
강원,200208,9,20.0,25.0,흐림/비/안개비
강원,200208,10,19.0,22.0,흐림/비/안개비
강원,200208,11,18.0,21.0,흐림/비
강원,200208,12,17.0,23.0,흐림/비
강원,200208,13,17.0,23.0,흐림/비
강원,200208,14,20.0,24.0,흐림/비
강원,200208,15,19.0,25.0,흐림/비
강원,200208,16,19.0,22.0,흐림/비/안개비
강원,200208,17,20.0,23.0,흐림/비/안개비
강원,200208,18,20.0,27.0,구름많음
강원,200208,19,19.0,24.0,구름많음/비
강원,200208,20,18.0,25.0,구름조금
강원,200208,21,17.0,26.0,구름조금
강원,200208,22,20.0,27.0,흐림/비
강원,200208,23,22.0,31.0,구름많음/비/소나기/뇌전
강원,200208,24,23.0,28.0,구름조금
강원,200208,25,22.0,27.0,흐림
강원,200208,26,22.0,28.0,흐림
강원,200208,27,22.0,32.0,구름많음/비/뇌전/천둥
강원,200208,28,23.0,29.0,맑음
강원,200208,29,22.0,26.0,흐림/비/안개비
강원,200208,30,22.0,23.0,흐림/비
강원,200208,31,20.0,23.0,흐림/비/천둥
강원,200209,1,21.0,25.0,흐림/비
강원,200209,2,24.0,34.0,맑음
강원,200209,3,20.0,26.0,구름조금
강원,200209,4,20.0,22.0,흐림/비/안개비
강원,200209,5,17.0,25.0,흐림/비
강원,200209,6,16.0,20.0,흐림/비
강원,200209,7,15.0,22.0,구름조금
강원,200209,8,13.0,27.0,맑음
강원,200209,9,17.0,25.0,구름조금
강원,200209,10,16.0,25.0,맑음
강원,200209,11,16.0,28.0,맑음
강원,200209,12,15.0,21.0,흐림/비
강원,200209,13,15.0,19.0,흐림/비
강원,200209,14,16.0,21.0,흐림/비/안개비
강원,200209,15,16.0,21.0,흐림/비
강원,200209,16,15.0,18.0,흐림/비
강원,200209,17,15.0,23.0,맑음
강원,200209,18,13.0,25.0,맑음
강원,200209,19,14.0,25.0,구름조금
강원,200209,20,16.0,24.0,구름조금
강원,200209,21,15.0,22.0,흐림/비
강원,200209,22,15.0,21.0,구름많음/비/소나기
강원,200209,23,14.0,24.0,맑음
강원,200209,24,16.0,26.0,맑음
강원,200209,25,15.0,24.0,구름조금
강원,200209,26,15.0,24.0,구름조금
강원,200209,27,14.0,22.0,구름많음
강원,200209,28,15.0,23.0,구름많음/비
강원,200209,29,16.0,22.0,흐림/비
강원,200209,30,15.0,22.0,구름많음/소나기
